Sim time (min), Sim time (max), Sim time (ave), Cnv time (min), Cnv time (max), Cnv time (ave), Vis time (min), Vis time (max), Vis time (ave)
0.447315, 0.447373, 0.447345, 0.193559, 0.193597, 0.193579, 1.18355, 1.20887, 1.18686
0.46199, 0.462073, 0.462033, 0.04564, 0.045697, 0.045669, 6e-06, 8e-06, 7e-06
0.407402, 0.407457, 0.407433, 0.043212, 0.043246, 0.0432331, 7e-06, 7e-06, 7e-06
0.412397, 0.412461, 0.41243, 0.042406, 0.042456, 0.0424336, 6e-06, 7e-06, 6.75e-06
0.412968, 0.41303, 0.412999, 0.042594, 0.042663, 0.0426365, 6e-06, 7e-06, 6.5e-06
0.438015, 0.438102, 0.438055, 0.04513, 0.0452, 0.045172, 7e-06, 1.2e-05, 9.375e-06
0.408892, 0.409934, 0.409052, 0.041681, 0.042709, 0.0425583, 6e-06, 7e-06, 6.5e-06
0.405051, 0.405135, 0.405086, 0.042354, 0.042422, 0.0423972, 6e-06, 8e-06, 6.375e-06
0.41083, 0.410885, 0.410856, 0.042457, 0.042518, 0.0424969, 6e-06, 1e-05, 7.375e-06
0.436656, 0.436722, 0.436689, 0.043201, 0.043268, 0.0432426, 7e-06, 1.1e-05, 8.875e-06
0.403496, 0.404819, 0.403824, 0.043229, 0.044537, 0.0442195, 7e-06, 8e-06, 7.125e-06
0.399729, 0.399773, 0.399747, 0.04448, 0.04452, 0.0445014, 6e-06, 1.7e-05, 8.625e-06
0.40507, 0.406107, 0.405215, 0.042693, 0.043724, 0.0435812, 6e-06, 1.2e-05, 8.5e-06
0.407437, 0.407481, 0.407454, 0.042646, 0.042684, 0.0426682, 6e-06, 7e-06, 6.5e-06
0.40023, 0.401293, 0.400386, 0.041515, 0.042566, 0.0424154, 6e-06, 6e-06, 6e-06
0.397421, 0.398951, 0.397823, 0.04334, 0.044893, 0.0444879, 6e-06, 1e-05, 7.375e-06
0.407653, 0.407706, 0.407677, 0.042452, 0.0425, 0.0424758, 6e-06, 1.4e-05, 8e-06
0.41276, 0.412845, 0.412798, 0.044676, 0.044744, 0.044719, 6e-06, 1e-05, 7.5e-06
0.395633, 0.395691, 0.395666, 0.042514, 0.042546, 0.0425339, 6e-06, 7e-06, 6.875e-06
0.401915, 0.403174, 0.402097, 0.043129, 0.04437, 0.0442014, 6e-06, 8e-06, 7e-06
0.406715, 0.406883, 0.406795, 0.043497, 0.043663, 0.043581, 6e-06, 1.1e-05, 7.625e-06
0.40924, 0.410442, 0.409406, 0.043236, 0.044435, 0.0442641, 7e-06, 1.6e-05, 8.5e-06
0.399912, 0.400001, 0.39995, 0.042625, 0.0427, 0.042674, 6e-06, 7e-06, 6.5e-06
0.408288, 0.408328, 0.408306, 0.042838, 0.042874, 0.0428553, 6e-06, 8e-06, 7.25e-06
0.408905, 0.41005, 0.409069, 0.042918, 0.044042, 0.0438945, 6e-06, 7e-06, 6.625e-06
0.403834, 0.404841, 0.404097, 0.042714, 0.043747, 0.0434826, 6e-06, 9e-06, 6.875e-06
0.402476, 0.402523, 0.402498, 0.043073, 0.043117, 0.0430934, 6e-06, 1e-05, 8e-06
0.39316, 0.39322, 0.393189, 0.042892, 0.042936, 0.042918, 6e-06, 9e-06, 7.125e-06
0.392192, 0.392265, 0.392225, 0.043855, 0.043917, 0.0438905, 6e-06, 7e-06, 6.75e-06
0.397182, 0.397233, 0.397204, 0.042627, 0.04267, 0.0426494, 7e-06, 7e-06, 7e-06
0.401729, 0.401786, 0.401757, 0.042889, 0.042933, 0.042914, 6e-06, 7e-06, 6.5e-06
0.402745, 0.402832, 0.402783, 0.04308, 0.043151, 0.0431235, 7e-06, 9e-06, 7.375e-06
0.413321, 0.413378, 0.413349, 0.042596, 0.042639, 0.0426203, 6e-06, 8e-06, 7.125e-06
0.394835, 0.395857, 0.394982, 0.041728, 0.042772, 0.0426238, 6e-06, 8e-06, 6.625e-06
0.406251, 0.407438, 0.406418, 0.042369, 0.043549, 0.0433848, 6e-06, 8e-06, 7.125e-06
0.40023, 0.400275, 0.400251, 0.042631, 0.042663, 0.0426503, 6e-06, 7e-06, 6.5e-06
0.408016, 0.40897, 0.40815, 0.041807, 0.04279, 0.0426533, 6e-06, 8e-06, 7.375e-06
0.414711, 0.415675, 0.414959, 0.041901, 0.042889, 0.0426409, 7e-06, 1e-05, 7.625e-06
0.400317, 0.400379, 0.400351, 0.042465, 0.04252, 0.0425022, 6e-06, 8e-06, 7.125e-06
0.391462, 0.391522, 0.391492, 0.042687, 0.042727, 0.0427111, 7e-06, 7e-06, 7e-06
0.419756, 0.419834, 0.419798, 0.044271, 0.044335, 0.0443032, 6e-06, 1e-05, 7.375e-06
0.395829, 0.395874, 0.395854, 0.043344, 0.043371, 0.0433606, 7e-06, 8e-06, 7.625e-06
0.405758, 0.405817, 0.405788, 0.042746, 0.042805, 0.0427851, 6e-06, 7e-06, 6.875e-06
0.398784, 0.398846, 0.398817, 0.043098, 0.043151, 0.0431347, 7e-06, 1e-05, 7.625e-06
0.403521, 0.403586, 0.403551, 0.042644, 0.042698, 0.042675, 6e-06, 8e-06, 7e-06
0.400405, 0.401405, 0.400552, 0.041669, 0.042665, 0.0425179, 6e-06, 8e-06, 6.875e-06
0.40633, 0.406391, 0.406361, 0.042552, 0.042592, 0.0425771, 6e-06, 8e-06, 7e-06
0.404934, 0.404978, 0.404952, 0.042815, 0.042857, 0.0428371, 5e-06, 8e-06, 6.75e-06
0.406509, 0.406563, 0.406536, 0.043242, 0.043287, 0.043265, 6e-06, 8e-06, 7e-06
0.401723, 0.401781, 0.401752, 0.042979, 0.043018, 0.0430027, 7e-06, 8e-06, 7.25e-06
0.402468, 0.40251, 0.402486, 0.043173, 0.04321, 0.0431916, 6e-06, 1e-05, 7.375e-06
0.395968, 0.396022, 0.395992, 0.042845, 0.042889, 0.0428701, 6e-06, 8e-06, 7.375e-06
0.410584, 0.410659, 0.410628, 0.042856, 0.042896, 0.0428794, 6e-06, 7e-06, 6.875e-06
0.400261, 0.401297, 0.400416, 0.042587, 0.043652, 0.0434938, 6e-06, 9e-06, 7.125e-06
0.412915, 0.412969, 0.412941, 0.04325, 0.043289, 0.0432726, 6e-06, 1.1e-05, 7.75e-06
0.404716, 0.404772, 0.404743, 0.04311, 0.043151, 0.0431346, 6e-06, 8e-06, 7e-06
0.407658, 0.407726, 0.407692, 0.042981, 0.043034, 0.0430094, 6e-06, 7e-06, 6.375e-06
0.403146, 0.404268, 0.403303, 0.042295, 0.043447, 0.0432862, 6e-06, 1e-05, 7.25e-06
0.402276, 0.40233, 0.402299, 0.042955, 0.042999, 0.0429805, 6e-06, 7e-06, 6.375e-06
0.402837, 0.402883, 0.402862, 0.043406, 0.043434, 0.0434219, 6e-06, 7e-06, 6.25e-06
0.412138, 0.412188, 0.412162, 0.042797, 0.042835, 0.0428189, 7e-06, 8e-06, 7.25e-06
0.397967, 0.398025, 0.397998, 0.042912, 0.042964, 0.0429498, 7e-06, 8e-06, 7.75e-06
0.411554, 0.411612, 0.411582, 0.042676, 0.042741, 0.0427187, 6e-06, 8e-06, 7.125e-06
0.414161, 0.414219, 0.414187, 0.044167, 0.044217, 0.044196, 7e-06, 9e-06, 7.25e-06
0.400626, 0.400707, 0.400659, 0.042815, 0.04288, 0.0428574, 6e-06, 7e-06, 6.875e-06
0.396337, 0.39639, 0.396363, 0.042912, 0.042955, 0.0429358, 6e-06, 7e-06, 6.375e-06
0.40413, 0.405343, 0.404447, 0.041979, 0.043182, 0.042871, 7e-06, 9e-06, 7.5e-06
0.399249, 0.399329, 0.399282, 0.042971, 0.043038, 0.043015, 6e-06, 8e-06, 6.75e-06
0.406902, 0.406961, 0.406936, 0.042666, 0.042722, 0.0426866, 6e-06, 7e-06, 6.125e-06
0.401599, 0.401663, 0.401633, 0.042892, 0.042949, 0.042931, 7e-06, 7e-06, 7e-06
0.394383, 0.394442, 0.394412, 0.042948, 0.042985, 0.0429721, 6e-06, 8e-06, 6.875e-06
0.406038, 0.406103, 0.40607, 0.042953, 0.043004, 0.0429827, 7e-06, 8e-06, 7.375e-06
