Time step, Pipe time (min), Pipe time (max), Pipe time (ave), Rend time (min), Rend time (max), Rend time (ave), Save time (min), Save time (max), Save time (ave), Comp time (min), Comp time (max), Comp time (ave)
10, 0.001582, 0.001937, 0.0016945, 0.062705, 0.415053, 0.158063, 0, 0.095862, 0.0119828, 0.26669, 0.620969, 0.502019
20, 0.001565, 0.002021, 0.00170175, 0.067178, 0.470547, 0.181521, 0, 0.118549, 0.0148186, 0.198038, 0.59258, 0.477292
30, 0.002147, 0.003994, 0.00295663, 0.029033, 0.564552, 0.142113, 0, 0.014959, 0.00187025, 0.002681, 0.541706, 0.424781
40, 0.002078, 0.004152, 0.00256925, 0.029357, 0.428688, 0.126395, 0, 0.014789, 0.00184875, 0.002042, 0.399329, 0.303605
50, 0.002097, 0.004193, 0.00326113, 0.029365, 0.394461, 0.128523, 0, 0.014794, 0.00184938, 0.001852, 0.36418, 0.266409
60, 0.002063, 0.004141, 0.0029225, 0.02995, 0.403982, 0.121583, 0, 0.014714, 0.00183963, 0.002277, 0.378017, 0.284108
70, 0.00229, 0.004173, 0.00325488, 0.028673, 0.429797, 0.12365, 0, 0.014653, 0.00183188, 0.001824, 0.404047, 0.306519
80, 0.002075, 0.004208, 0.0027505, 0.029557, 0.354111, 0.119418, 0, 0.015002, 0.0018755, 0.002032, 0.327299, 0.236348
90, 0.002067, 0.003981, 0.00280062, 0.029536, 0.414193, 0.122603, 0, 0.014813, 0.001852, 0.002019, 0.388235, 0.292149
100, 0.002096, 0.003964, 0.00266988, 0.03038, 0.432211, 0.125341, 0, 0.014708, 0.00183863, 0.001829, 0.403756, 0.30746
110, 0.002272, 0.00391, 0.00290413, 0.02995, 0.35593, 0.120179, 0, 0.014646, 0.00183113, 0.002054, 0.329145, 0.236285
120, 0.002117, 0.003501, 0.0027245, 0.029348, 0.351297, 0.118263, 0, 0.014692, 0.00183688, 0.002034, 0.3227, 0.232667
130, 0.001826, 0.004158, 0.00267575, 0.02914, 0.354927, 0.114486, 0, 0.014901, 0.00186275, 0.001851, 0.328161, 0.239462
140, 0.001818, 0.004227, 0.00261225, 0.029299, 0.438172, 0.121374, 0, 0.01466, 0.0018325, 0.002014, 0.412299, 0.31798
150, 0.001793, 0.004185, 0.00297013, 0.029743, 0.395551, 0.127404, 0, 0.014726, 0.001841, 0.001828, 0.368251, 0.268721
160, 0.001663, 0.004156, 0.002537, 0.03022, 0.416329, 0.119439, 0, 0.014816, 0.00185225, 0.001839, 0.389605, 0.298376
170, 0.001673, 0.004166, 0.00287513, 0.028972, 0.512189, 0.13732, 0, 0.014756, 0.00184462, 0.002034, 0.487698, 0.37621
180, 0.001708, 0.003763, 0.00242312, 0.028923, 0.399497, 0.11896, 0, 0.014737, 0.00184225, 0.001823, 0.374732, 0.281935
190, 0.001815, 0.004176, 0.00263275, 0.029455, 0.34967, 0.112401, 0, 0.014804, 0.00185075, 0.00203, 0.323383, 0.238457
10, 0.001654, 0.003483, 0.00243638, 0.028911, 0.40556, 0.121675, 0, 0.014965, 0.00187075, 0.001835, 0.379577, 0.284137
20, 0.001666, 0.00363, 0.00233687, 0.028907, 0.415964, 0.122067, 0, 0.014898, 0.00186238, 0.002033, 0.39098, 0.294538
30, 0.001657, 0.00332, 0.00217913, 0.029383, 0.475619, 0.127756, 0, 0.014921, 0.00186513, 0.002117, 0.449648, 0.348752
40, 0.001656, 0.003566, 0.00226738, 0.029856, 0.394612, 0.118674, 0, 0.014974, 0.001872, 0.001847, 0.367583, 0.276513
50, 0.001668, 0.003482, 0.00257563, 0.028682, 0.421636, 0.122864, 0, 0.015026, 0.00187838, 0.002033, 0.396127, 0.299755
60, 0.001656, 0.003619, 0.002542, 0.029391, 0.421601, 0.127921, 0, 0.014906, 0.00186338, 0.002032, 0.394164, 0.294139
70, 0.001634, 0.00314, 0.002292, 0.029487, 0.392493, 0.120675, 0, 0.014984, 0.0018735, 0.001845, 0.366112, 0.272102
80, 0.001678, 0.003345, 0.00234588, 0.029164, 0.469245, 0.126399, 0, 0.014818, 0.00185237, 0.002024, 0.443475, 0.343447
90, 0.001648, 0.003496, 0.002623, 0.028618, 0.348118, 0.115319, 0, 0.014709, 0.001839, 0.001848, 0.322288, 0.232445
100, 0.001636, 0.003496, 0.0025625, 0.028759, 0.355946, 0.117269, 0, 0.014877, 0.00186, 0.001837, 0.329573, 0.238857
110, 0.001687, 0.00333, 0.00234888, 0.029387, 0.430882, 0.122372, 0, 0.014757, 0.001845, 0.002025, 0.403338, 0.309106
120, 0.001696, 0.003311, 0.0023455, 0.029035, 0.432082, 0.131648, 0, 0.014694, 0.001837, 0.00203, 0.404819, 0.301012
130, 0.001622, 0.003529, 0.00269862, 0.029302, 0.359786, 0.117218, 0, 0.014736, 0.00184213, 0.001829, 0.333281, 0.24288
140, 0.001633, 0.003321, 0.00226662, 0.029498, 0.348053, 0.112634, 0, 0.014757, 0.00184488, 0.001832, 0.32137, 0.236204
150, 0.001637, 0.003342, 0.00239113, 0.029418, 0.426005, 0.132558, 0, 0.014719, 0.00184013, 0.002053, 0.399411, 0.294083
160, 0.001687, 0.003008, 0.0023525, 0.029389, 0.390409, 0.121378, 0, 0.014788, 0.00185063, 0.00184, 0.358668, 0.268945
170, 0.001641, 0.003458, 0.00252, 0.029384, 0.394103, 0.121273, 0, 0.014916, 0.00186463, 0.001853, 0.367385, 0.273288
180, 0.001733, 0.003474, 0.00250712, 0.030913, 0.363314, 0.122191, 0, 0.014766, 0.00184575, 0.002045, 0.334699, 0.23949
190, 0.001639, 0.003308, 0.0025455, 0.030046, 0.354612, 0.114104, 0, 0.014691, 0.0018365, 0.002031, 0.327634, 0.23947
10, 0.001647, 0.002327, 0.00201575, 0.029877, 0.381999, 0.115512, 0, 0.014741, 0.00184288, 0.002683, 0.354902, 0.267005
20, 0.001642, 0.003558, 0.0026665, 0.028917, 0.476925, 0.130379, 0, 0.014714, 0.00183938, 0.002026, 0.450869, 0.347145
30, 0.001689, 0.003306, 0.00238525, 0.029045, 0.453911, 0.126705, 0, 0.014814, 0.001852, 0.001838, 0.427964, 0.327987
40, 0.001677, 0.003159, 0.00218512, 0.028774, 0.427467, 0.125341, 0, 0.014764, 0.00184575, 0.001845, 0.402051, 0.303099
50, 0.001633, 0.003456, 0.00233575, 0.029409, 0.476041, 0.136193, 0, 0.01484, 0.001855, 0.002027, 0.449087, 0.340931
60, 0.00164, 0.003472, 0.00243912, 0.029154, 0.394741, 0.119845, 0, 0.014734, 0.00184188, 0.001837, 0.368855, 0.274884
70, 0.001633, 0.003466, 0.00228188, 0.02919, 0.353529, 0.112039, 0, 0.014799, 0.00184987, 0.002021, 0.328196, 0.242147
80, 0.001649, 0.003341, 0.00229725, 0.029591, 0.398899, 0.118474, 0, 0.01501, 0.00187638, 0.001845, 0.37219, 0.28122
90, 0.001824, 0.003329, 0.00244262, 0.028831, 0.469488, 0.13166, 0, 0.014758, 0.001845, 0.002031, 0.444012, 0.338249
100, 0.001669, 0.003355, 0.002152, 0.029395, 0.393188, 0.118392, 0, 0.014747, 0.0018435, 0.001831, 0.366991, 0.275086
